DestinationMacAddr,SourceMacAddr,SourceIPAddr,DestinationIPAddr,SourcePort,DestinationPort
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,249:4043:581:e2b4:9caf:ec2a:45c:6c1c,244:680:409:8c:00:00:00:202,62105,443
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,244:680:409:8c:00:00:00:202,249:4043:581:e2b4:9caf:ec2a:45c:6c1c,443,62105
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,244:680:409:8c:00:00:00:202,249:4043:581:e2b4:9caf:ec2a:45c:6c1c,443,62105
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,244:680:409:8c:00:00:00:202,249:4043:581:e2b4:9caf:ec2a:45c:6c1c,443,62105
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,244:680:409:8c:00:00:00:202,249:4043:581:e2b4:9caf:ec2a:45c:6c1c,443,62105
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,244:680:409:8c:00:00:00:202,249:4043:581:e2b4:9caf:ec2a:45c:6c1c,443,62105
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,249:4043:581:e2b4:9caf:ec2a:45c:6c1c,244:680:409:8c:00:00:00:202,62105,443
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,249:4043:581:e2b4:9caf:ec2a:45c:6c1c,244:680:409:8c:00:00:00:202,62105,443
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,244:680:409:8c:00:00:00:202,249:4043:581:e2b4:9caf:ec2a:45c:6c1c,443,62105
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,244:680:409:8c:00:00:00:202,249:4043:581:e2b4:9caf:ec2a:45c:6c1c,443,62105
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,244:680:409:8c:00:00:00:202,249:4043:581:e2b4:9caf:ec2a:45c:6c1c,443,62105
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,244:680:409:8c:00:00:00:202,249:4043:581:e2b4:9caf:ec2a:45c:6c1c,443,62105
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,244:680:409:8c:00:00:00:202,249:4043:581:e2b4:9caf:ec2a:45c:6c1c,443,62105
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,244:680:409:8c:00:00:00:202,249:4043:581:e2b4:9caf:ec2a:45c:6c1c,443,62105
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,244:680:409:8c:00:00:00:202,249:4043:581:e2b4:9caf:ec2a:45c:6c1c,443,62105
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,244:680:409:8c:00:00:00:202,249:4043:581:e2b4:9caf:ec2a:45c:6c1c,443,62105
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,244:680:409:8c:00:00:00:202,249:4043:581:e2b4:9caf:ec2a:45c:6c1c,443,62105
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,249:4043:581:e2b4:9caf:ec2a:45c:6c1c,244:680:409:8c:00:00:00:202,62105,443
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,244:680:409:8c:00:00:00:202,249:4043:581:e2b4:9caf:ec2a:45c:6c1c,443,62105
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,244:680:409:8c:00:00:00:202,249:4043:581:e2b4:9caf:ec2a:45c:6c1c,443,62105
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,249:4043:581:e2b4:9caf:ec2a:45c:6c1c,244:680:409:8c:00:00:00:202,62105,443
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,249:4043:581:e2b4:9caf:ec2a:45c:6c1c,244:680:409:8c:00:00:00:202,62105,443
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,244:680:409:8c:00:00:00:202,249:4043:581:e2b4:9caf:ec2a:45c:6c1c,443,62105
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,244:680:409:8c:00:00:00:202,249:4043:581:e2b4:9caf:ec2a:45c:6c1c,443,62105
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,249:4043:581:e2b4:9caf:ec2a:45c:6c1c,244:680:409:8c:00:00:00:202,62105,443
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,244:680:409:8c:00:00:00:202,249:4043:581:e2b4:9caf:ec2a:45c:6c1c,443,62105
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,18.237.158.96,62090,443
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,192.168.43.1,54413,53
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,192.168.43.1,51606,53
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,35.201.124.9,61617,443
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,52.157.234.37,62033,443
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,52.157.234.37,62106,443
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,192.168.43.1,192.168.43.33,53,54413
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,192.168.43.1,192.168.43.33,53,51606
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,35.164.80.106,62107,443
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,192.168.43.1,56609,53
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,35.201.124.9,192.168.43.33,443,61617
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,192.168.43.1,192.168.43.33,53,56609
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,192.168.43.1,52710,53
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,192.168.43.1,192.168.43.33,53,52710
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,52.157.234.37,192.168.43.33,443,62033
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,52.157.234.37,62033,443
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,18.237.158.96,62090,443
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,52.157.234.37,192.168.43.33,443,62106
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,52.157.234.37,62106,443
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,52.157.234.37,62106,443
